job_id,submission_time,num_iteration,model_name,deadline,batch_size,num_gpu,duration
0e1caea3-3c72-60b0-7b29-aa66e3b04af8,242229,66773,gpt2,254910,128,1,9136
ed1771e4-d54e-c6a5-0899-c6912d61ea88,242230,11846,vgg16,252600,256,1,9018
384cbfbf-81d0-8054-b273-4f6e4b865144,242230,45901,vgg16,250796,64,1,9084
ba2133c5-08b8-615d-67fd-5f2d13831f01,242230,16765,resnet50,253903,256,1,9095
37e27671-ea7f-17d1-9a01-76390e6ecd60,242233,12033,vgg16,253814,256,1,9160
bb9fe5e8-43c2-a4ca-d944-a886808b902f,242233,14799,deepspeech2,254937,64,1,9250
9f69d845-7df9-5cb3-378e-045a17bd1f60,242234,27447,deepspeech2,250179,32,1,9079
cfd1c57d-9f35-dec1-9435-91cc06ea8ac9,242234,46321,vgg16,255445,64,1,9167
8994b175-c432-b87f-0050-203c020281d7,242234,37195,gpt2,249236,256,1,9078
32cdc1d0-0c99-a75b-d9d0-1c72529cbc09,245175,47682,resnet50,273287,256,1,25867
d64dbbb0-3111-5e09-c8c6-cbbb65606cc7,245175,155066,bert,276011,64,1,25713
66c676f2-e5a2-e7d0-e895-01e534a1ce0c,245175,77991,deepspeech2,267741,32,1,25798
c859c0eb-cf6b-fd37-a9f6-05ed2aec7576,245175,47501,resnet50,266820,256,1,25769
5a33a6e7-57e9-5b83-2cfe-189a0dc29c55,245175,78538,deepspeech2,270218,32,1,25979
74cdae7e-73ba-7afd-a6d7-1157b8faa516,245175,177828,resnet50,275363,64,1,25987
aa1f3a39-2615-11a5-a267-a276e6d13d2c,245175,41620,deepspeech2,265782,64,1,26014
d84b2f9d-6d09-5461-f67a-1b391111770b,245175,68364,vgg16,261998,128,1,26046
acf31b4d-9583-3542-095c-97fdfa51a4d5,245176,155398,bert,272547,64,1,25768
0ed588ac-66b3-2b0e-dfb5-d424d7b8470f,245176,41213,deepspeech2,275251,64,1,25760
4c1c946b-a3e2-29c0-9b22-e53364485715,245178,188487,gpt2,276215,128,1,25789
c1f0ebf7-0b64-46f2-bf8c-0f0d9645adda,245179,105887,gpt2,264987,256,1,25843
1ab627e3-6487-af4d-91cb-9dae274a7225,245180,177739,resnet50,279490,64,1,25974
3fc31311-88f1-1964-80fc-844fb0395904,245180,66004,inception3,280025,128,1,25760
651a2c63-3162-2809-6412-b4ef456f99c2,245180,177746,resnet50,263310,64,1,25975
8e63fd56-dee7-0f9a-fc25-39d673f78379,245180,92844,bert,277688,128,1,25971
ee935510-5e8c-f6b6-b31f-01a1f4caf583,245181,177746,resnet50,281309,64,1,25975
1a676c83-e8d4-6a35-97e8-64ca2959b968,245182,34170,vgg16,262540,256,1,26012
